#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 09 10 09 06 140  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 08 42 130  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 08 36 130  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 08 30 120  4.6  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 08 24 120  4.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 08 18 130  3.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 08 12 120  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 08 06 120  4.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 08 00 110  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 07 54 130  1.5  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 07 48 130  2.1  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 07 36 140  1.5  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 07 30 120  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 07 24 150  2.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 07 18 140  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 07 12 150  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 07 06 190  1.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 54 180  0.5  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 48 200  1.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 42 210  0.5  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 36 190  1.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 24 160  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 18 180  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 12 180  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 06 190  1.0  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 06 00 190  2.1  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 05 48 180  1.0  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 05 42 190  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 05 36 200  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 05 30 180  2.1  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 05 24 170  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 05 18 180  1.0  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 05 12 180  1.5  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 05 00  MM  0.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 54 190  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 48 190  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 42 180  1.5  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 36 170  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 30 180  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 24 180  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 18 190  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 06 140  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 04 00 130  2.1  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 03 48 100  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 03 42  20  1.5  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 03 30 360  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 03 24 360  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 03 18 360  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 03 12 360  1.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 03 06  20  1.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 03 00  50  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 54 360  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 48  10  2.1  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 42  30  0.5  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 30  MM  0.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 24 340  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 18 230  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 12 300  0.5  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 06 130  1.0  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 02 00 110  1.5  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 54  MM  0.0  0.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 48 110  1.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 42  30  0.5  1.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 36  MM  0.0  0.5    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 30  10  1.0  1.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 24 330  2.1  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 18 350  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 12 320  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 01 00 340  2.6  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 54 340  4.6  6.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 48 330  4.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 42 350  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 36 290  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 30 240  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 18 160  1.5  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 12 170  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 06 190  2.6  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 00 00 170  2.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 23 48 200  1.5  2.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 23 42 200  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 23 30 160  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 23 24 170  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 23 18 180  2.6  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 23 12 170  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 23 06 180  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 23 00 170  3.6  6.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 22 54 190  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 22 48 200  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 22 36 180  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 22 24 190  4.6  6.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 22 18 190  4.1  6.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 22 12 190  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 22 00 200  4.6  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 21 48 170  3.6  6.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 21 42 170  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 21 36 170  2.6  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 21 30 170  1.5  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 21 24 200  3.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 21 18 180  3.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 21 06 170  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 21 00 180  4.1  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 20 54 180  4.6  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 20 48 170  2.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 20 36 150  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 20 30 190  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 20 24 160  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 20 18 120  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 20 12 130  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 20 06 130  4.1  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 19 42 140  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 19 24 140  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 09 19 06 170  2.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
