Site	Parameter	Date (LST)	Value	Unit	QCCode	OPCode
HDSN	WD	2019/08/30 03:59	62.56843	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:00	69.0344	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:01	71.89285	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:02	79.61232	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:03	71.38218	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:04	75.82981	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:05	82.91407	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:06	87.85862	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:07	79.84008	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:08	74.76167	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:09	67.55633	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:10	47.83686	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:11	54.0234	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:12	52.54382	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:13	51.14324	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:14	52.79623	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:15	86.95066	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:16	104.79516	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:17	106.53992	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:18	81.1338	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:19	81.78223	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:20	68.98454	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:21	85.47088	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:22	86.13251	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:23	125.10871	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:24	131.28781	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:25	136.62988	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:26	135.41866	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:27	138.79334	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:28	136.20106	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:29	135.6291	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:30	127.07715	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:31	121.6506	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:32	113.34843	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:33	114.09393	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:34	112.42074	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:35	109.70525	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:36	104.83535	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:37	92.76359	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:38	83.56415	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:39	68.79325	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:40	55.99584	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:41	67.08949	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:42	62.52775	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:43	44.27302	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:44	51.83409	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:45	64.76984	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:46	56.78644	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:47	79.00574	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:48	83.15392	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:49	93.77163	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:50	98.88187	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:51	111.20855	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:52	107.98877	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:53	107.39151	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:54	102.79348	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:55	98.37642	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:56	94.26303	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:57	104.80136	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:58	111.02653	COMPASS DEG	0	1
HDSN	WD	2019/08/30 04:59	112.61513	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:00	120.79646	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:01	124.72028	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:02	118.60178	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:03	123.32113	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:04	126.52308	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:05	127.34777	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:06	118.73522	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:07	110.64713	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:08	107.16653	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:09	106.03768	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:10	100.87239	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:11	96.94067	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:12	94.53512	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:13	96.38043	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:14	118.11794	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:15	132.81533	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:16	133.03276	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:17	129.96344	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:18	101.25654	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:19	109.99616	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:20	119.94472	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:21	130.74491	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:22	132.06221	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:23	94.44511	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:24	138.68919	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:25	150.40363	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:26	135.03926	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:27	115.82681	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:28	94.04304	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:29	94.01287	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:30	100.27353	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:31	90.83553	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:32	86.74908	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:33	95.53761	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:34	94.36189	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:35	90.08239	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:36	89.6344	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:37	103.82462	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:38	107.24205	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:39	106.21411	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:40	100.79977	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:41	87.42408	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:42	74.2451	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:43	62.26066	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:44	77.16901	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:45	80.11985	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:46	94.56844	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:47	100.6793	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:48	101.33518	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:49	94.64027	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:50	87.61207	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:51	71.60752	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:52	70.6651	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:53	86.1813	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:54	99.53449	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:55	102.15095	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:56	102.18044	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:57	87.80887	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:58	95.97165	COMPASS DEG	0	1
HDSN	WD	2019/08/30 05:59	88.39233	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:00	90.63389	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:01	96.08298	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:02	97.6516	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:03	104.35715	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:04	111.89079	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:05	111.28779	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:06	94.28803	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:07	92.99339	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:08	89.00755	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:09	81.34997	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:10	101.48461	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:11	96.51612	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:12	98.38405	COMPASS DEG	0	1
HDSN	WD	2019/08/30 06:13	92.09148	COMPASS DEG	0	1
